,Tweet,author_id,favorites,retweets,date,Label
0,CONCORRA A UM IPHONE X E UM SAMSUNG GALAXY NOTE 8 https:// wn.nr/P2PXDB @DuduRochaCL esperança é a última que morre,3082893138,0,0,2017-10-31 19:59:37,0
1,Qué celular tienes? — Samsung Galaxy J7 prime. http:// l.ask.fm/igoto/45DKECN7 5V62DDAUPY6IQO6I7KNC5JA3V7Z7NGNFBPX37PN2ZEY5KMYNNRKMSRZQKC67IFIBIRVDWWC7Y4YO4R56M3ZLDERR5QAQFPSOBJRSII6PAWFDIEXDQON3BCSKW65IGHRCZ3IGNAEAL6VUMHI= …,4665684672,0,0,2017-10-31 19:59:36,0
2,Check out Samsung Galaxy S6 unlock (Latest Model) - 32GB - (Unlocked) #Samsung #TouchScreen https://www. ebay.co.uk/itm/3020211444 71?roken=cUgayN&soutkn=kk2v4C … via @eBay,223190299,0,0,2017-10-31 19:58:35,0
3,Äntligen har Telia aktiverat WiFi-samtal för Samsung Galaxy S8+. Nu… https://www. instagram.com/p/Ba7oIpehAplG 7CVgorrzQ8YM_zk20Yjx04qq7k0/ …,482366894,0,0,2017-10-31 19:58:29,0
4,Samsung Galaxy J1 2016,723141369594810369,0,0,2017-10-31 19:57:36,0
5,Check out Samsung Galaxy s7 edge series 32GB 3GB RAM Unlocked Sim-Free VARIOUS GRADED #Samsung https://www. ebay.co.uk/itm/3019285475 33?roken=cUgayN&soutkn=QMJY4l … via @eBay,223190299,0,0,2017-10-31 19:55:51,0
6,Woorise Giveaway: Win a Samsung Galaxy Note 8 or an Apple iPhone X https:// woorise.com/wr/giveaway/wo orise-giveaway-win-a-samsung-galaxy-note-8-or-an-apple-iphone-x …,3125498104,0,0,2017-10-31 19:55:33,0
7,Samsung Galaxy S4 Phone Repair - Glass and LCD - Your Location #ComputerService http:// dlvr.it/PybKnR pic.twitter.com/DGhXcEhuDE,253669300,0,0,2017-10-31 19:55:06,0
8,Pessoal falando desse iPhone X que vai vim pro Brasil e eu aqui com meu Samsung Galaxy Sei la das quantas...,3136973113,0,0,2017-10-31 19:54:39,0
9,S8 Active: un Samsung Galaxy en esteroides … http:// ift.tt/2xGwRPW,246858388,0,0,2017-10-31 19:54:22,0
10,Me ha gustado un vídeo de @YouTube ( http:// youtu.be/beHVpORCTo4?a - SAMSUNG GALAXY S9 meterá MIEDO!!).,160799393,0,0,2017-10-31 19:54:20,0
11,¡Ayúdame a conseguir el Samsung Galaxy S8 que sortea @UrbanTecno ! #S8GratisUrbanTecno https:// wn.nr/Z4MVHG,248448132,0,0,2017-10-31 19:54:03,0
12,RT to #WIN a fantastic Samsung Galaxy S8 from BT Mobile this #Halloween ! T&Cs apply: http:// po.st/8aAaSY,1486287276,0,0,2017-10-31 19:53:40,0
13,"Samsung Galaxy S7 Screen Protector,CBoner Glass Protector [Tempered Glass], Bubble Free [3… https:// goo.gl/fb/My4YDu",325415993,0,0,2017-10-31 19:53:11,0
14,?????????????? Samsung Galaxy S9 ??? S9+ ????????? Infinity Display ???????? 4 ??? http:// mobileocta.com/samsung-galaxy -s9-sketches-specs-leak/ … pic.twitter.com/iqpsUKi9OT,305371494,0,0,2017-10-31 19:52:51,0
15,Me ha gustado un vídeo de @YouTube ( http:// youtu.be/beHVpORCTo4?a - SAMSUNG GALAXY S9 meterá MIEDO!!).,944649025,0,0,2017-10-31 19:59:47,0
16,Check out Samsung Galaxy S5 SERIES smartphones Unlocked Sim-Free VARIOUS GRADED #Samsung #Bar https://www. ebay.co.uk/itm/2918836534 70?roken=cUgayN&soutkn=zE0oGB … via @eBay,223190299,0,0,2017-10-31 19:57:26,0
17,You can enter to win a Samsung Galaxy S8 from @Gamestashplay ! Check it out! https:// wn.nr/DG6AJP,91388162,0,0,2017-10-31 19:52:49,0
18,?????????????? Samsung Galaxy S9 ??? S9+ ????????? Infinity Display ???????? 4 ??? - http:// mobileocta.com/samsung-galaxy -s9-sketches-specs-leak/ … pic.twitter.com/ijXDc2BPIF,2832631273,0,0,2017-10-31 19:52:42,0
